15 seconds no increase

  G13: Score 1.0 | P(Delta >= 5) = 0.741 | continue
  G14: Score 0.5 | P(Delta >= 5) = 0.734 | continue
  G15: Score 1.0 | P(Delta >= 5) = 0.826 | continue
  G16: Score 0.0 | P(Delta >= 5) = 0.697 | continue
  G17: Score 1.0 | P(Delta >= 5) = 0.778 | continue
  G18: Score 1.0 | P(Delta >= 5) = 0.862 | continue
  G19: Score 0.5 | P(Delta >= 5) = 0.846 | continue
  G20: Score 0.5 | P(Delta >= 5) = 0.849 | continue
  G21: Score 1.0 | P(Delta >= 5) = 0.901 | continue
  G22: Score 0.0 | P(Delta >= 5) = 0.821 | continue
  G23: Score 0.5 | P(Delta >= 5) = 0.828 | continue
  G24: Score 0.0 | P(Delta >= 5) = 0.736 | continue
  G25: Score 1.0 | P(Delta >= 5) = 0.807 | continue
  G26: Score 0.0 | P(Delta >= 5) = 0.752 | continue
  G27: Score 0.0 | P(Delta >= 5) = 0.651 | continue
  G28: Score 0.5 | P(Delta >= 5) = 0.644 | continue
  G29: Score 1.0 | P(Delta >= 5) = 0.720 | continue
  G30: Score 0.0 | P(Delta >= 5) = 0.631 | continue
  G31: Score 1.0 | P(Delta >= 5) = 0.709 | continue
  G32: Score 0.0 | P(Delta >= 5) = 0.616 | continue
  G33: Score 0.5 | P(Delta >= 5) = 0.634 | continue
  G34: Score 0.5 | P(Delta >= 5) = 0.620 | continue
  G35: Score 0.5 | P(Delta >= 5) = 0.617 | continue
  G36: Score 0.0 | P(Delta >= 5) = 0.532 | continue
  G37: Score 0.0 | P(Delta >= 5) = 0.456 | continue
  G38: Score 0.5 | P(Delta >= 5) = 0.457 | continue
  G39: Score 0.5 | P(Delta >= 5) = 0.468 | continue
  G40: Score 0.0 | P(Delta >= 5) = 0.372 | continue
  G41: Score 0.5 | P(Delta >= 5) = 0.390 | continue
  G42: Score 0.0 | P(Delta >= 5) = 0.327 | continue
  G43: Score 1.0 | P(Delta >= 5) = 0.378 | continue
  G44: Score 0.0 | P(Delta >= 5) = 0.301 | continue
  G45: Score 1.0 | P(Delta >= 5) = 0.364 | continue
  G46: Score 0.0 | P(Delta >= 5) = 0.329 | continue
  G47: Score 0.0 | P(Delta >= 5) = 0.256 | continue
  G48: Score 0.5 | P(Delta >= 5) = 0.246 | continue
  G49: Score 1.0 | P(Delta >= 5) = 0.303 | continue
  G50: Score 0.0 | P(Delta >= 5) = 0.279 | reject_H0

--- ITERATION 10: Tuning NMP_intercept (3.00 -> 4.20) ---
  G1: Score 1.0 | P(Delta >= 5) = 0.806 | continue
  G2: Score 0.5 | P(Delta >= 5) = 0.824 | continue
  G3: Score 1.0 | P(Delta >= 5) = 0.905 | continue
  G4: Score 0.5 | P(Delta >= 5) = 0.910 | continue
  G5: Score 1.0 | P(Delta >= 5) = 0.946 | continue
  G6: Score 0.5 | P(Delta >= 5) = 0.951 | accept_H0

--- ITERATION 11: Tuning LMR_intercept (0.00 -> 1.19) ---
  G1: Score 0.5 | P(Delta >= 5) = 0.499 | continue
  G2: Score 0.0 | P(Delta >= 5) = 0.158 | continue
  G3: Score 0.0 | P(Delta >= 5) = 0.082 | reject_H0

--- ITERATION 12: Tuning RFP_slope (0.00 -> 135.50) ---
  G1: Score 0.5 | P(Delta >= 5) = 0.503 | continue
  G2: Score 0.5 | P(Delta >= 5) = 0.482 | continue
  G3: Score 1.0 | P(Delta >= 5) = 0.828 | continue
  G4: Score 1.0 | P(Delta >= 5) = 0.923 | continue
  G5: Score 0.5 | P(Delta >= 5) = 0.907 | continue
  G6: Score 0.0 | P(Delta >= 5) = 0.692 | continue
  G7: Score 0.5 | P(Delta >= 5) = 0.684 | continue
  G8: Score 0.0 | P(Delta >= 5) = 0.488 | continue
  G9: Score 1.0 | P(Delta >= 5) = 0.642 | continue
  G10: Score 0.5 | P(Delta >= 5) = 0.642 | continue
  G11: Score 0.5 | P(Delta >= 5) = 0.605 | continue
  G12: Score 0.0 | P(Delta >= 5) = 0.462 | continue
  G13: Score 0.5 | P(Delta >= 5) = 0.458 | continue
  G14: Score 0.0 | P(Delta >= 5) = 0.322 | continue
  G15: Score 0.5 | P(Delta >= 5) = 0.317 | continue
  G16: Score 0.0 | P(Delta >= 5) = 0.215 | continue
  G17: Score 1.0 | P(Delta >= 5) = 0.323 | continue
  G18: Score 1.0 | P(Delta >= 5) = 0.471 | continue
  G19: Score 0.0 | P(Delta >= 5) = 0.351 | continue
  G20: Score 0.5 | P(Delta >= 5) = 0.351 | reject_H0

--- ITERATION 13: Tuning LMR_intercept (0.00 -> 1.03) ---
  G1: Score 0.5 | P(Delta >= 5) = 0.491 | continue
  G2: Score 0.0 | P(Delta >= 5) = 0.148 | continue
  G3: Score 1.0 | P(Delta >= 5) = 0.470 | continue
  G4: Score 0.5 | P(Delta >= 5) = 0.500 | continue
  G5: Score 0.0 | P(Delta >= 5) = 0.299 | continue
  G6: Score 0.5 | P(Delta >= 5) = 0.285 | continue
  G7: Score 0.0 | P(Delta >= 5) = 0.181 | continue
  G8: Score 0.0 | P(Delta >= 5) = 0.116 | continue
  G9: Score 0.5 | P(Delta >= 5) = 0.097 | reject_H0

--- ITERATION 14: Tuning NMP_slope (0.00 -> 86.64) ---
  G1: Score 1.0 | P(Delta >= 5) = 0.813 | continue
  G2: Score 0.0 | P(Delta >= 5) = 0.487 | continue
  G3: Score 0.5 | P(Delta >= 5) = 0.481 | continue
  G4: Score 1.0 | P(Delta >= 5) = 0.667 | continue
  G5: Score 0.0 | P(Delta >= 5) = 0.468 | continue
  G6: Score 0.0 | P(Delta >= 5) = 0.339 | continue
  G7: Score 1.0 | P(Delta >= 5) = 0.482 | continue
  G8: Score 0.5 | P(Delta >= 5) = 0.472 | continue
  G9: Score 0.5 | P(Delta >= 5) = 0.473 | continue
  G10: Score 0.0 | P(Delta >= 5) = 0.343 | continue
  G11: Score 1.0 | P(Delta >= 5) = 0.473 | continue
